model,epoch,lr,seconds,train_precision,train_recall,train_f1,train_iou,train_dice,train_accuracy,train_loss,val_precision,val_recall,val_f1,val_iou,val_dice,val_accuracy,val_loss
unet,1,0.0002924788693712105,88.3322651386261,0.3368334434148317,0.7792305508844583,0.4703509610408855,0.3074894986783558,0.47035100318461315,0.9239322683784397,0.7087640380591489,0.5483750371581497,0.8161641576724652,0.6559929083557037,0.48808743939880983,0.6559929564300309,0.964077234268187,0.6270897043868899
unet,2,0.000292140676936283,88.74054765701294,0.5798408501444283,0.8167085018516914,0.6781871581518231,0.5130735684795561,0.6781872067134567,0.9663351466146746,0.6096596132838324,0.4411529366964463,0.934598198750938,0.5993826927236712,0.42794184522919443,0.5993827362913463,0.9475706517696366,0.6009321499150246
unet,3,0.0002915776023170016,88.71766209602356,0.6476792652347265,0.8323831744431323,0.728506138577655,0.572952994979881,0.7285061877989678,0.9730372482471249,0.581520461868704,0.6864470248738131,0.8862096931115616,0.7736411406400348,0.6308440755019754,0.7736411898333089,0.9782370179891571,0.5459518380230293
unet,4,0.00029079051373361676,88.82286286354065,0.6308610585576735,0.8264879752894039,0.7155445004449744,0.5570800834626135,0.715544549544024,0.9715011961004705,0.4406086656735854,0.7293457514745124,0.8481724750627124,0.7842837459296086,0.645120787924863,0.7842837956459249,0.9804197698831543,0.27935480632459075
unet,5,0.00028978062481967474,88.37104439735413,0.6833882452082012,0.8479755077809642,0.7568371071457782,0.6087996923065443,0.7568371565682054,0.9763603767652188,0.32395793236373516,0.5842554175540949,0.9222233111337087,0.7153289584479205,0.5568188347321426,0.7153290059314392,0.9691966772079452,0.3006724272036081
unet,6,0.00028854949275068263,88.81515550613403,0.7186035086993093,0.8538466594167571,0.7804090441387189,0.6398941561318412,0.7804090937688496,0.9791457358371003,0.29201611777704756,0.6665183094475345,0.881111101642284,0.758937042352621,0.6115218544740263,0.7589370913913132,0.976510196924208,0.32430619347701395
unet,7,0.0002870990158430566,88.74916076660156,0.7308485004213632,0.8638923091999827,0.7918206586350997,0.6553834465781077,0.7918207082870985,0.9802912229902286,0.26976515598846285,0.6598939254495083,0.9017881110746242,0.7621070672745514,0.6156486768536202,0.7621071160749618,0.9763737916946396,0.24809007654062043
unet,8,0.0002854314306270556,88.5659396648407,0.7609477568154293,0.8688459427071371,0.8113251766141948,0.6825460120891623,0.811325226395048,0.9824526390332852,0.2467128200100714,0.6468815844558448,0.9321758440602622,0.7637560710835318,0.6178037614329428,0.7637561194513893,0.9757993072271332,0.23791432001269186
unet,9,0.0002835493083982136,88.96151518821716,0.7637135726248268,0.8735177773696321,0.8149335055938701,0.6876690830805686,0.8149335553689699,0.9828156867723784,0.23773410680253854,0.6548615769622758,0.9133693952421817,0.7628091715802889,0.6165655553611216,0.7628092202216794,0.9761629551649078,0.22941572275522049
unet,10,0.00028145555125258856,88.3649525642395,0.7681859625992978,0.8825264045101632,0.8213961051073609,0.6969230231682237,0.8213961548674618,0.9833440266298441,0.23165020797129596,0.8092341054315472,0.8692375867637288,0.838163267566413,0.7214123380067637,0.8381633175025254,0.9859132468700393,0.21299931401154026
unet,11,0.0002791533876119405,88.15692090988159,0.7727428383458085,0.8822584921686019,0.8238771505848828,0.7005027031380433,0.8238772003659415,0.9836307139878859,0.2230342615976553,0.8127434382903056,0.8366455181111727,0.8245212400079548,0.7014344734458768,0.8245212899974661,0.98505526781082,0.22767599056459176
unet,12,0.0002766463672457392,88.07373380661011,0.7828025558913351,0.8834222153703895,0.8300742355375645,0.7095102492103676,0.830074285355229,0.9843228308002598,0.2210492811730822,0.8408695764209249,0.8342632874427848,0.837553355188607,0.7205091476251281,0.8375534051878413,0.9864192008972152,0.2145915277765198
unet,13,0.00027393835579767685,88.71327328681946,0.7873010626214041,0.8873892183222838,0.834354197640075,0.7157871468621065,0.8343542474614802,0.9847181170174243,0.21454737398857146,0.8545135035478544,0.8434559495047756,0.8489486719050348,0.7375420522588839,0.8489487219029268,0.9874040931463226,0.21796769333246857
unet,14,0.00027103352882512573,88.62943959236145,0.795166154555221,0.8955254433169146,0.8423670903037993,0.727663466827023,0.8423671401276185,0.9854591262474486,0.204190751502102,0.8238349489364651,0.8847680689479522,0.8532149441525946,0.7440060601518219,0.8532149940890156,0.9872245341539367,0.18628194980803414
unet,15,0.00026793636536073155,88.34473276138306,0.7935839924569371,0.8982006231571652,0.8426576147351384,0.7280971573651841,0.8426576645439404,0.9854732170533596,0.19905599005562202,0.767325995399448,0.9037591592845245,0.8299730903083257,0.7093624670781982,0.8299731399750537,0.9844607412815078,0.1865791303698927
unet,16,0.00026465164100606943,88.47758841514587,0.7992401393415947,0.8959463270796123,0.8448347591727836,0.7313541090050215,0.8448348090100619,0.9857333772637868,0.19376296457688041,0.8208508997529668,0.8934962865749675,0.8556343707137304,0.7476932512165309,0.8556344206239603,0.9873470366001114,0.17924093745276082
unet,17,0.0002611844205680127,88.67589259147644,0.7999168250877491,0.9000380576930471,0.847029001191854,0.7346490835407349,0.8470290510184137,0.985898703671573,0.19174074568586905,0.81069631991563,0.8955585903045841,0.8510170508862597,0.7406699449812643,0.8510171007625877,0.986841201782225,0.1817327405767628
unet,18,0.00025754005024916773,88.48331332206726,0.8071468353197155,0.8954002504785171,0.8489861362395915,0.7375986072942712,0.8489861861052415,0.9861919510230587,0.1929609829021011,0.8023337132406071,0.8966305763513664,0.8468652364183209,0.7344027338495441,0.8468652862643056,0.9863919168710693,0.18190920671048616
unet,19,0.00025372414940441694,88.67874264717102,0.807649635628897,0.9014610013943922,0.8519806628538201,0.7421310095837259,0.8519807127031792,0.9864241096410856,0.19197090232975028,0.7015107999161295,0.9327773493147338,0.8007808717579421,0.6677519851185207,0.8007809207567109,0.9805231243371948,0.20378305325399992
unet,20,0.0002497426018762809,87.90365672111511,0.8089944795805863,0.9028639091662046,0.8533554883531568,0.7442198228257354,0.8533555382028132,0.9865336128834925,0.18391760761687387,0.7958345692259238,0.9117353178035289,0.8498515310104439,0.7389060112402989,0.8498515807801066,0.9864801913499817,0.1800797114216266
unet,21,0.00024560154692245976,88.11789798736572,0.8142195293564156,0.9061470223758653,0.8577271610603264,0.750895249467121,0.8577272109175618,0.9869591187895012,0.17725848242159137,0.7710988156935952,0.9223156318929546,0.8399555707867783,0.7240719709957109,0.8399556203880915,0.9852501451969131,0.17763378032000787
unet,22,0.00024130736974954257,88.61578679084778,0.8164419617324908,0.9085035342961244,0.8600160022314399,0.7544106683826509,0.8600160520890175,0.9871882963716312,0.17807376780390238,0.7961638738141541,0.9019333387305148,0.8457545225246693,0.7327337428041425,0.8457545723306967,0.9861940443515762,0.17969190745461106
unet,23,0.00023686669166748177,88.8312406539917,0.8154120007020386,0.9107789038804455,0.860461033847169,0.7550958298855651,0.8604610836945565,0.987182917219869,0.17334502171306462,0.8236490112369297,0.90578204915154,0.862765175356557,0.7586518143790973,0.8627652252437974,0.9879074096679672,0.1725089810557563
