model,epoch,lr,seconds,train_precision,train_recall,train_f1,train_iou,train_dice,train_accuracy,train_loss,val_precision,val_recall,val_f1,val_iou,val_dice,val_accuracy,val_loss
simple_cnn,1,0.0009998903417374227,88.44930386543274,0.15313528241224653,0.8482728474318239,0.25943565907050653,0.1490526277819571,0.2594356849775921,0.790088104933835,0.8125841292102686,0.18720521416052294,0.8859707243770519,0.3090981036493809,0.1828007517075574,0.30909813245156637,0.8337875902652727,0.7404123865999281
simple_cnn,2,0.0009995614150494292,88.02017450332642,0.22072510353584432,0.8668011359644129,0.35185312489746323,0.21348410719528124,0.35185315725099325,0.8612965165899039,0.7258549360746748,0.18041516349432263,0.9289066239434269,0.30214645961200687,0.1779579242312349,0.3021464868490523,0.8199293762445438,0.7136609070003033
simple_cnn,3,0.0009990133642141358,88.2351930141449,0.23461104641912203,0.8723298894727375,0.3697725923169582,0.22682273132948796,0.3697726257218658,0.8707717424028373,0.7097588198908259,0.27734481311384,0.8677118086772684,0.4203379008820344,0.26609358266788113,0.42033793759095645,0.8995671272277818,0.6777102297637612
simple_cnn,4,0.0009982464296247522,88.15891027450562,0.25368567866616554,0.8763737577845654,0.39347213901147987,0.24492085815176082,0.3934721738301922,0.8828240233860657,0.6899331218740913,0.27202454545533344,0.8881196675884223,0.416483270519761,0.2630116298156575,0.41648330641903164,0.8955637514591203,0.6600030963309109
simple_cnn,5,0.0009972609476841367,87.91775751113892,0.2649247788495951,0.8829734530795211,0.40756492152756313,0.2559381990699496,0.407564957032882,0.8886336401607211,0.6775884073102072,0.3119611867931718,0.8995436513854186,0.46326299830086404,0.30145890126591013,0.46326303653951034,0.9125257581472382,0.6320428289473057
simple_cnn,6,0.000996057350657239,88.3414626121521,0.28091417522313583,0.8870668987702918,0.4267015116070761,0.27121462405048646,0.4267015481403322,0.8965487169415761,0.6628176292006889,0.30864749254666995,0.8852974929942432,0.4577176198128635,0.29677941951940906,0.4577176581494431,0.911967888474463,0.645514796487987
simple_cnn,7,0.000994636166481494,88.01613640785217,0.28737669344292444,0.8894908844977143,0.4344055904090668,0.27747010011141565,0.4344056273210869,0.8995059066943906,0.657568511534273,0.35422306213649457,0.8837933747782212,0.5057444487616792,0.3384591765579961,0.5057444896128745,0.9275071471929536,0.6289717822801322
simple_cnn,8,0.0009929980185352525,87.6493628025055,0.29876575957676155,0.8926372984720982,0.44768969882758664,0.2884022266059416,0.44768973640426585,0.9043618470095515,0.6472524182515198,0.3280210536084076,0.9087040011816734,0.48203765037249946,0.31755576931476215,0.48203768934944946,0.9180472195148454,0.614209977677092
simple_cnn,9,0.0009911436253643444,88.07730913162231,0.30581027732636457,0.8963680622461222,0.4560364030475599,0.2953673604004648,0.4560364409817328,0.907378548182798,0.6387673653243633,0.42921551126591084,0.8407946260795903,0.5683136791978554,0.39695409074761695,0.5683137239466137,0.9463963806629166,0.6345411136280745
simple_cnn,10,0.0009890738003669028,88.08406591415405,0.31740060756765537,0.8992418084303676,0.46919270466543456,0.30650020840636705,0.4691927432299878,0.9116988771417165,0.6299076892351836,0.3336545525258156,0.904730302655823,0.4875178481878413,0.3223296880959524,0.48751788755507863,0.9201763868331895,0.6155567832756788
simple_cnn,11,0.00098678945143658,88.33912682533264,0.3288480231349115,0.9016063393297897,0.4819218774510498,0.31745528895545505,0.48192191661722283,0.9158767014407038,0.620205394237229,0.3682922744273126,0.8846533781585812,0.520072004792552,0.351417138246789,0.5200720463005034,0.9314811974763856,0.612637021811679
simple_cnn,12,0.0009842915805643154,88.8238136768341,0.3251720512731754,0.9015755502588987,0.4779583783842336,0.31402454623620357,0.4779584173456617,0.9146360911680069,0.62196911084518,0.3843725013082295,0.9089401292774371,0.5402739534955072,0.37012014139588584,0.5402739952699409,0.9350851029157624,0.5875080996192992
simple_cnn,13,0.000981581283398829,88.27061295509338,0.3447113294910469,0.9069881584826115,0.49955931430690376,0.3329417632223788,0.4995593542173876,0.9211866121613576,0.6074749197517888,0.38740038685480876,0.9079395142791485,0.5430792205360677,0.37275827604685163,0.5430792624616885,0.9358851462602601,0.5890786293894053
simple_cnn,14,0.0009786597487660333,88.1773943901062,0.3497819706251905,0.9090870156889101,0.505187157702752,0.3379601760840099,0.5051871978329936,0.9227388296234471,0.6030339052503029,0.3623608737122439,0.9210764032399998,0.5201064831481786,0.3514486224802056,0.5201065236726795,0.9286699891090379,0.5837270263582468
simple_cnn,15,0.0009755282581475766,88.54289746284485,0.35848389465087444,0.911592984793189,0.5146009396503203,0.3464395581907008,0.5146009801676272,0.9255214969763592,0.5953749776556251,0.4034392462439714,0.9106398964870918,0.5591563453584348,0.38807569622244636,0.5591563879096334,0.9397409856319413,0.5757639317307621
simple_cnn,16,0.0009721881851187403,88.13231348991394,0.3590748062175714,0.9108590915281742,0.5150922053627459,0.34688501323341653,0.5150922459232992,0.9256566722741285,0.5954544240839026,0.38752609627485396,0.8923042835411653,0.5403703086361047,0.3702105881281783,0.540370350858136,0.9362979233264909,0.6043267545755953
simple_cnn,17,0.0009686409947459456,88.29516935348511,0.36414758670024966,0.9112254285665258,0.5203505339423635,0.35167152830920445,0.5203505747422343,0.9271312649330394,0.5929110430934456,0.3515456811765264,0.9160186459526963,0.5080963018048016,0.34056913737492345,0.5080963418892654,0.9255675375461564,0.595948401838541
simple_cnn,18,0.0009648882429441254,88.09382343292236,0.36907323688544696,0.9133346490739704,0.5257100376541657,0.3565852760942,0.5257100786481469,0.9285624450512144,0.5885898677150855,0.3754108137199994,0.9258224004249267,0.5342066436903637,0.36444884772245867,0.5342066847442432,0.9322458803653703,0.5780495880171657
simple_cnn,19,0.00096093157579425,88.05600070953369,0.37314343367081765,0.9143755871794573,0.5300010551137904,0.3605452323375733,0.5300010962783135,0.9297125912784189,0.5856802751843849,0.4072427193004871,0.9141431142206312,0.5634661581011539,0.3922401276146393,0.5634662007432214,0.9405587017536149,0.5770808411762118
simple_cnn,20,0.0009567727288213001,88.2128427028656,0.37648291220372876,0.914934037481349,0.5334559133926448,0.36375038063823073,0.533455954700444,0.9305492379692161,0.5834587031535888,0.43689217855192447,0.9033870356087949,0.5889559376059474,0.41739022585217433,0.5889559815487336,0.9470819979906068,0.5707732138689607
simple_cnn,21,0.0009524135262330095,88.1339430809021,0.38889079518468767,0.9170926708151812,0.5461767012945715,0.3756830416141387,0.546176743115676,0.9338846378112104,0.5763097832711895,0.4028939907444518,0.9193606574373987,0.5602625132830371,0.3891421716197769,0.5602625556547991,0.9394363760948167,0.5734954404179007
simple_cnn,22,0.0009478558801197061,87.97633099555969,0.386676745275693,0.9155208238511513,0.5437125573051549,0.37335528598760565,0.5437125990586169,0.9334350071596293,0.5787077322099986,0.4004620260914288,0.9127728611055157,0.5566876802449474,0.3857015085134875,0.5566877226355178,0.9389922618865952,0.576506975106895
simple_cnn,23,0.000943101789615607,88.38618898391724,0.3916467209024541,0.9179328633208936,0.5490393601232978,0.37839718240672493,0.5490394020481549,0.9345728327719011,0.5741360010725729,0.47579663851313075,0.8858091630483715,0.6190704985329528,0.44829990504510814,0.6190705439991665,0.9542523622512803,0.5743977347156033
simple_cnn,24,0.0009381533400219313,88.21752071380615,0.3955854474180016,0.9183762776843399,0.5529784560940987,0.3821494687418243,0.5529784981789218,0.9355958659997144,0.5710787218608213,0.41087815620284035,0.9167110516470408,0.567429316347121,0.39609171295553436,0.5674293590884597,0.9413454383611665,0.5697985710576177
simple_cnn,25,0.0009330127018922189,88.34541440010071,0.39475438687546305,0.9193589825095317,0.5523434618303498,0.3815432081681763,0.5523435038619953,0.9353472163168229,0.5691731560096313,0.3978675436355573,0.9180230716678626,0.5551396940148506,0.3842169032616782,0.5551397362022303,0.9382553994655595,0.5699695787625387
