model,threshold,precision,recall,f1,iou,dice,accuracy,pred_change_ratio,true_change_ratio
simple_cnn,0.5,0.592689295028111,0.8769315673047204,0.7073224535239334,0.5471763085305238,0.7073225016613919,0.9598693847641604,0.08181762695300016,0.05529785156241562
unet,0.5,0.8868279569654078,0.9103200882751016,0.8984204292869118,0.8155747836633974,0.8984204792905989,0.9886169433578664,0.05676269531241339,0.05529785156241562
siamese_temporal_attention_unet,0.5,0.9411605205818557,0.9577814569272136,0.9493981994308189,0.9036709190079752,0.94939824943997,0.9943542480453578,0.05627441406241413,0.05529785156241562
