model,best_epoch,epochs_ran,best_val_f1,test_f1,test_iou,test_dice,test_precision,test_recall,test_loss,test_accuracy
simple_cnn,120,139,0.6943808816213286,0.7093393674286914,0.5495940790368752,0.7093394153628496,0.5895119824252218,0.8903083684977385,0.5403934005007613,0.9628307446837419
unet,39,51,0.8819957250835818,0.8840429178702791,0.7921836974133695,0.8840429678684341,0.8786999916053231,0.8894513180733377,0.16806717786292324,0.9881134107708924
siamese_temporal_attention_unet,63,69,0.9057702599064903,0.901932390191215,0.821381555382499,0.90193244019099,0.9000071358668928,0.90386599943486,0.11893822637487972,0.9899869412183755
